Memory_Seed1_Hor1_MCT_0 type=Memory, horizon=1, mct=0, seed=1
Memory_Seed1_Hor2_MCT_0 type=Memory, horizon=2, mct=0, seed=1
Memory_Seed1_Hor3_MCT_0 type=Memory, horizon=3, mct=0, seed=1
Memory_Seed1_Hor4_MCT_0 type=Memory, horizon=4, mct=0, seed=1
Memory_Seed1_Hor5_MCT_0 type=Memory, horizon=5, mct=0, seed=1
Memory_Seed1_Hor6_MCT_0 type=Memory, horizon=6, mct=0, seed=1
Memory_Seed1_Hor7_MCT_0 type=Memory, horizon=7, mct=0, seed=1
Memory_Seed1_Hor8_MCT_0 type=Memory, horizon=8, mct=0, seed=1
Memory_Seed1_Hor9_MCT_0 type=Memory, horizon=9, mct=0, seed=1
Memory_Seed1_Hor10_MCT_0 type=Memory, horizon=10, mct=0, seed=1
Memory_Seed1_Hor11_MCT_0 type=Memory, horizon=11, mct=0, seed=1
NoMemory_Seed1_Hor1_MCT_0 type=NoMemory, horizon=1, mct=0, seed=1
NoMemory_Seed1_Hor2_MCT_0 type=NoMemory, horizon=2, mct=0, seed=1
NoMemory_Seed1_Hor3_MCT_0 type=NoMemory, horizon=3, mct=0, seed=1
NoMemory_Seed1_Hor4_MCT_0 type=NoMemory, horizon=4, mct=0, seed=1
NoMemory_Seed1_Hor5_MCT_0 type=NoMemory, horizon=5, mct=0, seed=1
Hybrid_Seed1_Hor1_MCT_5 type=Hybrid, horizon=1, mct=5, seed=1
Hybrid_Seed1_Hor2_MCT_4 type=Hybrid, horizon=2, mct=4, seed=1
Hybrid_Seed1_Hor3_MCT_3 type=Hybrid, horizon=3, mct=3, seed=1
Hybrid_Seed1_Hor4_MCT_2 type=Hybrid, horizon=4, mct=2, seed=1
Hybrid_Seed1_Hor5_MCT_1 type=Hybrid, horizon=5, mct=1, seed=1
Hybrid_Seed1_Hor6_MCT_0 type=Hybrid, horizon=6, mct=0, seed=1
PureMC_Seed1_Hor0_MCT_1 type=PureMC, horizon=0, mct=1, seed=1
PureMC_Seed1_Hor0_MCT_2 type=PureMC, horizon=0, mct=2, seed=1
